,ticker,date,open,high,low,close,volume,source,fetched_at,raw_checksum,Return
0,ITUB3.SA,2025-02-28 00:00:00+00:00,23.488881337023336,23.59388733257683,23.02039613741899,23.068859100341797,964522,yfinance,2026-02-27 03:07:12.664500,833cfd8011cb5c487476524e7c562e81dc9191ad127dbedf5015c6365d910330,
1,ITUB3.SA,2025-03-05 00:00:00+00:00,23.414493318173268,23.584222020462338,23.123530577082576,23.438739776611328,675268,yfinance,2026-02-27 03:07:12.664500,833cfd8011cb5c487476524e7c562e81dc9191ad127dbedf5015c6365d910330,0.01590658232559555
2,ITUB3.SA,2025-03-06 00:00:00+00:00,23.51956467740387,23.681210065645512,23.35791754255087,23.382164001464844,610007,yfinance,2026-02-27 03:07:12.664500,833cfd8011cb5c487476524e7c562e81dc9191ad127dbedf5015c6365d910330,-0.0024166899020157647
3,ITUB3.SA,2025-03-07 00:00:00+00:00,23.49531857155493,23.83477601313187,23.293261818195926,23.60038948059082,960670,yfinance,2026-02-27 03:07:12.664500,833cfd8011cb5c487476524e7c562e81dc9191ad127dbedf5015c6365d910330,0.009289705745223495
4,ITUB3.SA,2025-03-10 00:00:00+00:00,23.600391276781227,23.70546219381391,23.36600472640137,23.61655616760254,992847,yfinance,2026-02-27 03:07:12.664500,833cfd8011cb5c487476524e7c562e81dc9191ad127dbedf5015c6365d910330,0.0006847832879291907
5,ITUB3.SA,2025-03-11 00:00:00+00:00,23.673131634289167,23.673131634289167,23.390250420740657,23.462989807128906,918183,yfinance,2026-02-27 03:07:12.664500,833cfd8011cb5c487476524e7c562e81dc9191ad127dbedf5015c6365d910330,-0.006523720733870158
6,ITUB3.SA,2025-03-12 00:00:00+00:00,23.51956343311584,23.624632580592017,23.382162764445912,23.54380989074707,748006,yfinance,2026-02-27 03:07:12.664500,833cfd8011cb5c487476524e7c562e81dc9191ad127dbedf5015c6365d910330,0.0034386583972881948
7,ITUB3.SA,2025-03-13 00:00:00+00:00,23.54381563664268,23.883273112769967,23.54381563664268,23.77012062072754,500672,yfinance,2026-02-27 03:07:12.664500,833cfd8011cb5c487476524e7c562e81dc9191ad127dbedf5015c6365d910330,0.009566419591847284
8,ITUB3.SA,2025-03-14 00:00:00+00:00,23.972175978156432,24.683420619035513,23.891353279251096,24.61876106262207,1098670,yfinance,2026-02-27 03:07:12.664500,833cfd8011cb5c487476524e7c562e81dc9191ad127dbedf5015c6365d910330,0.035079441241119495
9,ITUB3.SA,2025-03-17 00:00:00+00:00,24.65917370223371,25.224936077321487,24.54601948060472,25.14411163330078,1119970,yfinance,2026-02-27 03:07:12.664500,833cfd8011cb5c487476524e7c562e81dc9191ad127dbedf5015c6365d910330,0.02111494214986605
